vowel,F1,F2,F3
a,784.4671170665314,1390.927070235929,2433.2403445805335
e,417.00791908249613,2042.453249988405,2423.8583300060627
i,259.0985814360339,2231.740765785137,2819.218714861659
o,562.2955245317842,854.5311682738487,2463.26727657427
u,434.4420321283883,1331.362161871936,2815.9876831692327
